Department;Faculty;University;Discount;City;Language;score_last;range_last;score_first;range_first;average_range;average_score
Molecular Biology and Genetics;Yasam ve Doga Bilimleri Faculty;Abdullah Gul University;Free;KAYSERI;English;0;0;0;0;744477;213
Civil Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;0;0;408;58314;170637;380
Computer Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;433;40724;474;16869;158074;370
Computer Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;461;44794;506;11960;508702;299
Computer Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;398;45263;444;14439;1236936;225
Electrical Electronics Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;417;52177;465;21514;161383;368
Psychology;Humanities and Social Sciences Faculty;Abdullah Gul University;Free;KAYSERI;English;388;54833;451;6214;383824;314
Electrical Electronics Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;439;64159;477;32065;511990;237
Mechanical Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;385;77021;447;32041;173423;302
Electrical Electronics Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;362;79152;405;39114;0;0
Industrial Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;382;79454;444;34162;162874;305
Psychology;Humanities and Social Sciences Faculty;Abdullah Gul University;Free;KAYSERI;English;327;86755;375;21866;1101165;188
Architecture;Architecture Faculty;Abdullah Gul University;Free;KAYSERI;English;374;86951;448;31553;176368;299
Industrial Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;413;86991;460;46263;456917;244
Industrial Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;353;88458;397;45849;1265949;223
Mechanical Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;401;98670;444;59737;469621;240
Architecture;Architecture Faculty;Abdullah Gul University;Free;KAYSERI;English;392;107507;454;51223;472049;242
Molecular Biology and Genetics;Yasam ve Doga Bilimleri Faculty;Abdullah Gul University;Free;KAYSERI;English;318;133155;402;41836;1089195;185
